,Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб),Форма двигателя
193,Avantis,Avantis Enduro 250 Pro/Carb,2022,Сочи,65,250,21.0,1.0,МКПП-5,цепь,чёрный,220000,рядное
194,Avantis,Avantis Enduro 250 Pro/EFI,2022,Красноярск,415,250,25.0,1.0,МКПП-5,цепь,оранжевый,288000,рядное
195,Avantis,Avantis Enduro 250,2020,Москва,4822,250,19.0,1.0,МКПП-5,цепь,красный,199000,рядное
196,Avantis,Avantis A5,2021,Кузнецово,86,250,23.0,1.0,МКПП-5,цепь,оранжевый,185000,рядное
197,Avantis,Avantis Enduro 300 Pro/Carb,2021,Обнинск,84,300,34.0,1.0,МКПП-5,цепь,оранжевый,295000,рядное
198,Avantis,Avantis Dakar 250,2020,Вязники,5000,250,27.0,1.0,МКПП-6,цепь,золотистый,225000,рядное
199,Avantis,Avantis Enduro 300 Pro/Carb,2019,Москва,3000,300,34.0,1.0,МКПП-6,цепь,синий,255000,рядное
200,Avantis,Avantis A7,2024,Саратов,367,300,32.0,1.0,МКПП-5,цепь,чёрный,265000,рядное
201,Avantis,Avantis Enduro 300 Pro/EFI,2021,Волгоград,134,300,40.0,1.0,МКПП-6,цепь,оранжевый,400000,v-образное
202,Avantis,Avantis Dakar 250,2021,Москва,803,250,26.0,1.0,МКПП-6,цепь,синий,210000,рядное
203,Avantis,Avantis MT250,2023,Сыктывкар,3500,223,17.0,1.0,МКПП-6,цепь,красный,185000,рядное
204,Avantis,Avantis Enduro 250 Pro/Carb,2021,Полевской,97,300,21.0,1.0,МКПП-5,цепь,оранжевый,250000,рядное
205,Avantis,Avantis FX 250,2020,Пермь,700,250,21.0,1.0,МКПП-5,цепь,белый,159900,рядное
206,Avantis,Avantis Dakar 250,2021,Сосновское,9550,250,26.0,1.0,МКПП-6,цепь,голубой,215000,рядное
207,Avantis,Avantis A7,2021,Санкт-Петербург,9000,250,20.0,1.0,МКПП-5,цепь,чёрный,185000,рядное
208,Avantis,Avantis A5,2023,Набережные Челны,4900,250,25.0,2.0,МКПП-5,цепь,оранжевый,205000,v-образное
209,Avantis,Avantis Enduro 300 Pro/EFI,2024,Бисерово,12,300,37.0,1.0,МКПП-6,цепь,чёрный,370000,рядное
210,Avantis,Avantis Enduro 250,2023,Сургут,1100,250,17.0,1.0,МКПП-5,цепь,чёрный,200000,рядное
211,Avantis,Avantis Enduro 300 Pro/EFI,2021,Санкт-Петербург,1200,300,40.0,1.0,МКПП-6,цепь,оранжевый,299000,оппозитное
212,Avantis,Avantis A2,2021,Муром,276,250,21.0,1.0,МКПП-5,цепь,белый,170000,рядное
213,Avantis,Avantis Enduro 300 Carb,2021,Бердск,100,300,26.0,1.0,МКПП-6,цепь,чёрный,300000,рядное
214,Avantis,Avantis A6,2021,Бабаево,717,300,26.0,1.0,МКПП-5,цепь,синий,190000,рядное
