Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб)
American IronHorse,American IronHorse Texas Chopper,2008,Санкт-Петербург,12000,22000,180,2 цилиндра/v-образное,6 передач,ремень,красный,1299999
American IronHorse,American IronHorse Texas Chopper,2005,Москва,13,1850,130,2 цилиндра/v-образное,6 передач,ремень,чёрный,1800000
American IronHorse,American IronHorse Tejas,2001,Воронеж,25000,1340,40,2 цилиндра/v-образное,5 передач,ремень,синий,1305000
Apollo,Apollo DT125,2023,Исанбаево,777,125,10,1 цилиндр/ротор,4 передачи,цепь,пурпурный,69999
Apollo,Apollo RXF,2021,Всеволожск,3500,150,15,1 цилиндр,4 передачи,цепь,зелёный,120000
Apollo,Apollo Mini,2021,Клин,17,50,4,1 цилиндр/рядное,Вариатор,цепь,белый,72000
Apollo,Apollo Freeride,2022,Воронеж,300,190,21,1 цилиндр,5 передач,цепь,белый,80000
Apollo,Apollo M3,2023,Ижевск,100,300,28,,5 передач,,оранжевый,215000
Apollo,Apollo M3,2024,Москва,4,300,24,,,,красный,187000
Apollo,Apollo RXF,2018,Хотьково,60,125,8,2 цилиндра/оппозитное,4 передачи,цепь,синий,80000
Apollo,Apollo Freeride,2020,Москва,150,150,12,,4 передачи,цепь,жёлтый,89990
Apollo,Apollo Start,2022,Стеженский,4444,125,3,1 цилиндр/рядное,4 передачи,цепь,чёрный,70000
Apollo,Apollo RFZ 125LE,2020,Пермь,100,124,9,1 цилиндр/v-образное,4 передачи,цепь,красный,80000
Apollo,Apollo Freeride,2019,Советский,500,150,15,1 цилиндр/рядное,4 передачи,цепь,чёрный,80000
Apollo,Apollo RXF,2021,Всеволожск,3500,150,15,1 цилиндр,4 передачи,цепь,зелёный,120000
Apollo,Apollo RFZ 125LE,2024,Екатеринбург,500,125,11,1 цилиндр,4 передачи,цепь,синий,78000
Apollo,Apollo RXF,2019,Русавкино-Романово,250,150,15,1 цилиндр,4 передачи,цепь,оранжевый,130000
Apollo,Apollo RXF,2021,Унеча,111,125,8,1 цилиндр,4 передачи,цепь,красный,85000
Apollo,Apollo Freeride,2021,Санкт-Петербург,300,125,9,1 цилиндр,4 передачи,цепь,красный,100500
Apollo,Apollo Elite,2018,Санкт-Петербург,6,150,13,1 цилиндр/рядное,4 передачи,цепь,красный,85000
Apollo,Apollo RXF,2021,Яхрома,20,150,14,,4 передачи,цепь,красный,90000
Apollo,Apollo Open,2018,Ковров,500,160,17,,5 передач,,оранжевый,80000
Apollo,Apollo DT125,2023,Калининград,500,125,15,1 цилиндр,4 передачи,,красный,105000
Apollo,Apollo RXF,2019,Белокуриха,60,140,16,1 цилиндр/v-образное,4 передачи,цепь,жёлтый,80000
Apollo,Apollo Freeride,2020,Чайковский,2000,50,,,,цепь,красный,35000
Apollo,Apollo Thunder,2022,Авдон,1000,125,11,2 цилиндра/v-образное,4 передачи,цепь,красный,100000
Apollo,Apollo RXF,2024,Бурцево,25,140,23,1 цилиндр,4 передачи,цепь,голубой,120000
Apollo,Apollo RFZ 125LE,2022,Кемерово,1000,125,11,1 цилиндр,4 передачи,цепь,зелёный,75000
